genid,id,name,cpu,mem,memperc,netin,netout,blockin,blockout,image,detuser,ip,date
026c87cf-e26e-4c35-95ba-368bf739459b,23093d2fe9c7,frosty_lovelace,2.55,1.07374e+09,1.38,9.33233e+07,6.08174e+07,7.70703e+08,1.04858e+06,harbor.vhio.net/determine/srtools:0.24.4,clcarlos,172.27.40.109,2024-04-23 20:48:43
cdc46d9b-19bc-4f67-b488-b78affef9cc1,009b31303ad0,brave_dhawan,472.47,1.15964e+11,86.12,4.1943e+06,1.25829e+07,7.5812e+08,1.07374e+09,harbor.vhio.net/determine/custom_gpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:49:27
350cc7ba-83d1-4d49-bd9a-26763f6635fd,81748903fe57,funny_ishizaka,0.05,1.01712e+08,0.08,5.22191e+08,6.9206e+07,9.88807e+08,2.14748e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clolivia,172.27.40.111,2024-04-23 20:49:27
a68e9250-69c9-47ee-a98c-7eaf06ab6f0d,855999a48d19,intelligent_napier,0.72,3.50224e+08,0.26,1.07374e+10,1.1489e+11,3.22123e+09,4.29497e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:49:27
d9c340b3-a904-4fb5-8033-b4262864afab,8dcd67312969,nifty_rosalind,1.94,5.36871e+09,4.73,2.55853e+08,3.51273e+08,1.22683e+08,7.1408e+08,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,cldaniel,172.27.40.106,2024-04-23 20:49:33
f84fb80a-a15e-43a4-8188-94d09ae3e824,ec57bac4e511,ecstatic_ride,0.07,2.17055e+08,0.65,7.6546e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 20:49:40
8bf48345-002e-46af-95d4-2d502e66b9fc,5e1d18f2d053,objective_black,0.85,6.29146e+08,1.88,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 20:49:40
ba88e87c-7ad9-4e1d-b956-c0797772e374,db2514bd2f7c,pensive_kapitsa,0.24,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 20:49:40
911228ab-4d07-4aca-abef-1067d1c69eec,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 20:49:40
207bf840-1db4-4312-a992-94277879d1f9,f9e7b2212f7d,dazzling_maxwell,0.19,6.44245e+09,20.21,2.63193e+08,6.08174e+07,4.84442e+08,1.67772e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clchristina,172.27.40.102,2024-04-23 20:49:40
49c438dc-81ce-449e-8cda-573b4b90d546,5049f6c48abb,recursing_cori,0.01,6.44245e+09,5.05,1.60432e+08,2.30687e+07,4.75005e+08,6.50117e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clcarlos,172.27.40.109,2024-04-23 20:49:45
79998ad1-80e7-4a00-b906-662c8e9cf206,23093d2fe9c7,frosty_lovelace,2.54,1.07374e+09,1.38,9.33233e+07,6.08174e+07,7.70703e+08,1.04858e+06,harbor.vhio.net/determine/srtools:0.24.4,clcarlos,172.27.40.109,2024-04-23 20:49:45
1233f009-4de5-4ad7-8f66-bff5ae4d1033,009b31303ad0,brave_dhawan,468.03,1.15964e+11,86.14,4.1943e+06,1.25829e+07,7.5812e+08,1.07374e+09,harbor.vhio.net/determine/custom_gpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:50:30
b6de555d-634e-41c7-9c63-a82abe19f74c,81748903fe57,funny_ishizaka,0.06,1.01712e+08,0.08,5.22191e+08,6.9206e+07,9.88807e+08,2.14748e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clolivia,172.27.40.111,2024-04-23 20:50:30
44bed780-4430-47c1-af26-c7c4dc599fdb,855999a48d19,intelligent_napier,0.58,3.51273e+08,0.26,1.07374e+10,1.1489e+11,3.22123e+09,4.29497e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:50:30
71da4374-ba41-491d-b4c5-060a100a09f1,8dcd67312969,nifty_rosalind,1.98,5.36871e+09,4.73,2.55853e+08,3.51273e+08,1.22683e+08,7.1408e+08,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,cldaniel,172.27.40.106,2024-04-23 20:50:36
d5e35e1f-5631-4096-8267-51b6971b249d,ec57bac4e511,ecstatic_ride,0.07,2.17055e+08,0.65,7.6546e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 20:50:43
ecf9fe24-6fc2-4210-8bd4-582d961d39a1,5e1d18f2d053,objective_black,2.37,6.28097e+08,1.88,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 20:50:43
579b6660-20f0-4a27-aa9b-1b43093a6670,db2514bd2f7c,pensive_kapitsa,0.13,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 20:50:43
f29a300a-d11e-48d9-80e1-4993da9b41eb,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 20:50:43
75162979-11a0-43f4-a316-78b7ba9208af,f9e7b2212f7d,dazzling_maxwell,0.17,6.44245e+09,20.21,2.63193e+08,6.08174e+07,4.84442e+08,1.67772e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clchristina,172.27.40.102,2024-04-23 20:50:43
5fb225c4-da00-47f8-89df-95640f233fe9,5049f6c48abb,recursing_cori,0.01,6.44245e+09,5.05,1.60432e+08,2.30687e+07,4.75005e+08,6.50117e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clcarlos,172.27.40.109,2024-04-23 20:50:48
36299de0-27ff-4896-ab72-ec0720981a28,23093d2fe9c7,frosty_lovelace,2.54,1.07374e+09,1.38,9.33233e+07,6.08174e+07,7.70703e+08,1.04858e+06,harbor.vhio.net/determine/srtools:0.24.4,clcarlos,172.27.40.109,2024-04-23 20:50:48
90b2feef-6b3a-42c3-a5ba-e17717c6e168,009b31303ad0,brave_dhawan,452.4,1.15964e+11,86.17,4.1943e+06,1.25829e+07,7.5812e+08,1.07374e+09,harbor.vhio.net/determine/custom_gpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:51:33
e09149cc-5682-454d-bd56-8bacd48d17c9,81748903fe57,funny_ishizaka,0.23,1.01712e+08,0.08,5.22191e+08,6.9206e+07,9.88807e+08,2.14748e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clolivia,172.27.40.111,2024-04-23 20:51:33
0c313c11-852a-4584-94d4-d7c54794ac39,855999a48d19,intelligent_napier,0.74,3.51273e+08,0.26,1.07374e+10,1.1489e+11,3.22123e+09,4.29497e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:51:33
aefbd238-8f68-4a5b-817c-bb6f477a9376,8dcd67312969,nifty_rosalind,2.5,5.36871e+09,4.72,2.55853e+08,3.51273e+08,1.22683e+08,7.1408e+08,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,cldaniel,172.27.40.106,2024-04-23 20:51:38
d460e92a-134a-495d-9f28-40072c2ec4f0,ec57bac4e511,ecstatic_ride,0.06,2.17055e+08,0.65,7.6546e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 20:51:46
